,name,age,nationality,club,bp,position,weight,foot,joined,marking,total_stats,base_stats,a/w,d/w,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova,value_log,wage_log,release_clause_log
3878,R. Orihuela,19,Uruguay,Nacional de Montevideo,RB,RB CB,163.0,Right,"Jan 1, 2020",59,1460,325,Medium,High,76,30,45,55,58,61,13.0,46.0,46.0,46.0,52.0,48.0,48.0,48.0,52.0,48.0,48.0,48.0,53.0,47.0,47.0,47.0,53.0,60.0,53.0,53.0,53.0,60.0,60.0,57.0,57.0,57.0,60.0,18.0,62,5.720159303405957,2.6989700043360187,7.176091259055681
3879,Undabarrena,25,Spain,CE Sabadell FC,CM,CDM CM,168.0,Right,"Aug 31, 2020",64,1836,378,Medium,Medium,53,55,69,67,65,69,10.0,60.0,60.0,60.0,62.0,61.0,61.0,61.0,62.0,64.0,64.0,64.0,64.0,67.0,67.0,67.0,64.0,66.0,67.0,67.0,67.0,66.0,65.0,65.0,65.0,65.0,65.0,15.0,68,7.041392685158225,3.6020599913279625,7.278753600952829
3880,D. Stephens,31,England,Burnley,CDM,CM CDM,172.0,Right,"Sep 24, 2020",69,1994,413,Medium,High,56,65,74,69,72,77,25.0,67.0,67.0,67.0,68.0,69.0,69.0,69.0,68.0,71.0,71.0,71.0,70.0,75.0,75.0,75.0,70.0,73.0,76.0,76.0,76.0,73.0,72.0,73.0,73.0,73.0,72.0,19.0,75,7.740362689494244,4.662757831681574,8.021189299069938
3881,P. Sander,22,Germany,SC Verl,CAM,CM RM,168.0,Right,"Apr 26, 2018",49,1569,340,Medium,Medium,66,48,60,67,49,50,9.0,56.0,56.0,56.0,61.0,60.0,60.0,60.0,61.0,62.0,62.0,62.0,61.0,59.0,59.0,59.0,61.0,54.0,54.0,54.0,54.0,54.0,53.0,51.0,51.0,51.0,53.0,15.0,59,5.3979400086720375,2.6989700043360187,0.0
3882,Luca Sangalli,25,Spain,Real Sociedad,RM,CM CAM RM,163.0,Right,"Aug 14, 2018",60,1858,409,High,Medium,76,64,70,75,61,63,15.0,67.0,67.0,67.0,72.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,73.0,72.0,72.0,72.0,73.0,68.0,68.0,68.0,68.0,68.0,66.0,62.0,62.0,62.0,66.0,16.0,72,7.6127838567197355,4.2552725051033065,7.949390006644912
3883,A. Yildirim,25,Germany,SC Verl,RM,RW LW,165.0,Right,"Jul 1, 2019",16,1576,348,High,Medium,80,63,55,70,20,60,9.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0,65.0,63.0,63.0,63.0,65.0,56.0,56.0,56.0,65.0,47.0,42.0,42.0,42.0,47.0,43.0,35.0,35.0,35.0,43.0,14.0,65,5.829303772831025,2.929418925714293,6.0
3884,J. Palomino,30,Argentina,Atalanta,CB,CB,192.0,Left,"Jul 7, 2017",77,1622,353,Low,Medium,49,32,55,58,78,81,53.0,51.0,51.0,51.0,51.0,49.0,49.0,49.0,51.0,50.0,50.0,50.0,55.0,58.0,58.0,58.0,55.0,69.0,72.0,72.0,72.0,69.0,71.0,76.0,76.0,76.0,71.0,18.0,76,6.778151250383644,4.623249290397901,8.008600171761918
3885,M. Mužek,23,Croatia,St. Mirren,LWB,LWB CB,179.0,Left,"Feb 1, 2019",54,1529,334,Medium,Medium,68,32,54,57,57,66,3.0,49.0,49.0,49.0,53.0,51.0,51.0,51.0,53.0,53.0,53.0,53.0,56.0,54.0,54.0,54.0,56.0,59.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,14.0,60,5.361727836017593,3.3010299956639813,5.623249290397901
3886,M. Correia,31,Portugal,SC Paderborn 07,CB,CB,179.0,Right,"Aug 18, 2020",70,1680,357,Medium,Medium,57,38,61,63,69,69,4.0,53.0,53.0,53.0,57.0,55.0,55.0,55.0,57.0,58.0,58.0,58.0,59.0,61.0,61.0,61.0,59.0,65.0,67.0,67.0,67.0,65.0,65.0,70.0,70.0,70.0,65.0,17.0,70,7.113943352306837,4.041392685158225,7.3222192947339195
3887,Y. Diarra,21,Mali,FC Red Bull Salzburg,CDM,CM CDM,161.0,Right,"Jan 31, 2018",58,1835,392,Medium,Medium,71,59,63,66,61,72,6.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,65.0,64.0,64.0,64.0,65.0,18.0,66,5.954242509439325,3.845098040014257,7.176091259055681
3888,M. Steinmann,25,Germany,Wellington Phoenix,CDM,CDM CM,176.0,Right,"Aug 9, 2019",69,1759,367,Medium,Medium,52,48,64,64,69,70,3.0,58.0,58.0,58.0,59.0,60.0,60.0,60.0,59.0,62.0,62.0,62.0,62.0,66.0,66.0,66.0,62.0,65.0,69.0,69.0,69.0,65.0,65.0,68.0,68.0,68.0,65.0,18.0,70,6.301029995663981,3.4771212547196626,7.431363764158987
3889,H. White,18,England,Tottenham Hotspur,LM,CDM LB,154.0,Left,"Jul 1, 2018",57,1736,359,Medium,Medium,66,56,64,59,55,59,68.0,57.0,57.0,57.0,60.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,61.0,60.0,59.0,59.0,59.0,60.0,60.0,57.0,57.0,57.0,60.0,17.0,60,5.6020599913279625,3.4771212547196626,7.079181246047625
3890,R. Campbell-Gordon,19,England,Port Vale,LB,LB CB RB,165.0,Left,"May 3, 2019",48,1419,315,High,Medium,81,30,40,52,48,64,10.0,44.0,44.0,44.0,49.0,46.0,46.0,46.0,49.0,46.0,46.0,46.0,49.0,44.0,44.0,44.0,49.0,53.0,48.0,48.0,48.0,53.0,53.0,51.0,51.0,51.0,53.0,15.0,55,5.204119982655925,3.0,5.57978359661681
3891,O. Selnæs,25,Norway,Norway,CM,CM CDM,170.0,Left,"Feb 26, 2019",69,2067,429,High,Medium,67,68,74,74,69,77,18.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,73.0,73.0,73.0,72.0,74.0,74.0,74.0,72.0,72.0,73.0,73.0,73.0,72.0,71.0,71.0,71.0,71.0,71.0,19.0,74,6.845098040014257,4.146128035678238,8.056904851336473
3892,D. Andersen,19,Denmark,Aarhus GF,GK,GK,176.0,Right,"Apr 1, 2018",10,877,304,Medium,Medium,55,51,54,56,34,54,4.0,20.0,20.0,20.0,18.0,19.0,19.0,19.0,18.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,20.0,19.0,21.0,21.0,21.0,19.0,19.0,20.0,20.0,20.0,19.0,52.0,53,5.041392685158225,2.8129133566428557,5.313867220369153
3893,Y. Ravet,30,France,Grenoble Foot 38,RM,RM,159.0,Right,"Jul 1, 2020",38,1757,367,Medium,Medium,67,64,70,71,38,57,17.0,66.0,66.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,65.0,65.0,65.0,69.0,57.0,54.0,54.0,54.0,57.0,53.0,47.0,47.0,47.0,53.0,18.0,70,7.230448921378274,3.6020599913279625,6.477121254719663
3894,L. Scepanik,26,Germany,MSV Duisburg,LM,LM LB,154.0,Left,"Jul 1, 2019",45,1697,361,High,Medium,71,59,60,64,47,60,5.0,59.0,59.0,59.0,63.0,61.0,61.0,61.0,63.0,62.0,62.0,62.0,62.0,59.0,59.0,59.0,62.0,57.0,55.0,55.0,55.0,57.0,55.0,51.0,51.0,51.0,55.0,14.0,63,5.628388930050312,2.929418925714293,5.811575005870593
3895,L. Daschner,21,Germany,FC St. Pauli,CAM,CAM LM RM,168.0,Right,"Aug 14, 2020",53,1701,375,High,Low,73,61,62,68,48,63,22.0,63.0,63.0,63.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,65.0,63.0,63.0,63.0,65.0,58.0,57.0,57.0,57.0,58.0,56.0,53.0,53.0,53.0,56.0,15.0,66,7.041392685158225,3.6020599913279625,7.278753600952829
3896,Rafael,29,Brazil,Medipol Başakşehir FK,RB,RB,172.0,Right,"Sep 8, 2020",73,2075,438,High,Medium,76,60,74,78,74,76,40.0,69.0,69.0,69.0,73.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,74.0,76.0,76.0,76.0,76.0,76.0,75.0,75.0,75.0,75.0,75.0,17.0,77,7.8750612633917,4.556302500767287,8.155336037465062
3897,K. Asamoah,31,Ghana,Inter,CDM,LM LB,165.0,Left,"Jul 2, 2018",78,2119,443,High,High,71,68,76,79,77,72,64.0,72.0,72.0,72.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,75.0,76.0,77.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,76.0,12.0,76,6.845098040014257,4.869231719730976,8.064457989226918
3898,Dudu,23,Brazil,Palmeiras,LW,LW LM CAM,134.0,Right,"Jan 12, 2015",20,1810,379,Medium,Low,82,67,70,83,27,50,5.0,70.0,70.0,70.0,77.0,75.0,75.0,75.0,77.0,76.0,76.0,76.0,76.0,69.0,69.0,69.0,76.0,57.0,52.0,52.0,52.0,57.0,52.0,41.0,41.0,41.0,52.0,18.0,77,7.977723605288848,4.903089986991944,0.0
3899,J. McAtee,20,England,Scunthorpe United,CAM,CAM CF,165.0,Right,"Jul 8, 2019",26,1541,328,Medium,Medium,69,57,56,62,30,54,8.0,57.0,57.0,57.0,60.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,56.0,56.0,56.0,60.0,48.0,46.0,46.0,46.0,48.0,46.0,40.0,40.0,40.0,46.0,17.0,60,5.653212513775344,3.3010299956639813,7.041392685158225
3900,R. Wiedesheim-Paul,18,Sweden,Halmstads BK,ST,ST,150.0,Right,"Oct 3, 2017",12,1219,259,Medium,Medium,56,51,37,46,20,49,5.0,50.0,50.0,50.0,46.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0,45.0,41.0,41.0,41.0,45.0,34.0,32.0,32.0,32.0,34.0,33.0,31.0,31.0,31.0,33.0,14.0,51,4.903089986991944,2.6989700043360187,5.176091259055681
3902,A. Morley,20,England,Rochdale,CAM,CDM CM,159.0,Right,"Aug 1, 2016",54,1703,364,Medium,Medium,72,56,59,61,54,62,5.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,59.0,59.0,59.0,59.0,58.0,56.0,56.0,56.0,58.0,15.0,60,5.544068044350276,2.845098040014257,5.834420703681532
3903,K. Kombarov  B,30,Russia,Arsenal Tula,RM,RB RM RWB,159.0,Right,"Jan 25, 2017",72,1947,410,High,Medium,72,62,67,73,68,68,3.0,65.0,65.0,65.0,69.0,67.0,67.0,67.0,69.0,68.0,68.0,68.0,69.0,68.0,68.0,68.0,69.0,70.0,68.0,68.0,68.0,70.0,69.0,67.0,67.0,67.0,69.0,17.0,70,7.113943352306837,4.301029995663981,7.3222192947339195
3904,D. Stockdale,34,England,Wycombe Wanderers,GK,GK,185.0,Right,"Sep 9, 2020",30,1135,369,Medium,Medium,66,64,73,69,31,66,5.0,28.0,28.0,28.0,26.0,29.0,29.0,29.0,26.0,32.0,32.0,32.0,29.0,35.0,35.0,35.0,29.0,26.0,34.0,34.0,34.0,26.0,26.0,30.0,30.0,30.0,26.0,66.0,67,5.511883360978874,3.6020599913279625,5.778874472002739
3905,B. Carrasco,28,Chile,CD Palestino,RM,RM RW,157.0,Right,"Jan 30, 2020",33,1827,389,High,Medium,89,63,63,68,42,64,4.0,65.0,65.0,65.0,68.0,66.0,66.0,66.0,68.0,65.0,65.0,65.0,68.0,61.0,61.0,61.0,68.0,59.0,55.0,55.0,55.0,59.0,57.0,51.0,51.0,51.0,57.0,16.0,69,7.041392685158225,3.4771212547196626,7.176091259055681
3906,J. Ledesma,27,Argentina,Cádiz CF,GK,GK,183.0,Right,"Jul 1, 2013",13,1163,403,Medium,Medium,75,71,64,75,45,73,18.0,28.0,28.0,28.0,26.0,27.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,26.0,73.0,74,7.690196080028514,4.278753600952829,0.0
3907,P. Ba,22,Senegal,ESTAC Troyes,ST,ST,159.0,Right,"Aug 9, 2019",21,1437,313,Medium,Medium,59,60,41,62,25,66,4.0,61.0,61.0,61.0,56.0,58.0,58.0,58.0,56.0,56.0,56.0,56.0,54.0,48.0,48.0,48.0,54.0,40.0,39.0,39.0,39.0,40.0,39.0,40.0,40.0,40.0,39.0,14.0,61,5.574031267727719,3.3010299956639813,5.86391737695786
3908,S. Gassama,25,Senegal,Real Valladolid CF,ST,ST,194.0,Left,"Jan 28, 2020",30,1611,347,Medium,Medium,63,69,47,62,32,74,8.0,68.0,68.0,68.0,61.0,64.0,64.0,64.0,61.0,60.0,60.0,60.0,59.0,54.0,54.0,54.0,59.0,46.0,45.0,45.0,45.0,46.0,45.0,46.0,46.0,46.0,45.0,17.0,68,7.079181246047625,3.9030899869919438,7.414973347970818
3909,L. Kryeziu,21,Kosovo,FC Lugano,ST,ST RW,161.0,Right,"Aug 23, 2018",12,1424,310,Medium,Low,75,55,45,60,18,57,3.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,56.0,55.0,55.0,55.0,54.0,48.0,48.0,48.0,54.0,39.0,37.0,37.0,37.0,39.0,37.0,33.0,33.0,33.0,37.0,14.0,56,5.2552725051033065,3.0,5.57287160220048
3910,F. Lohkemper,25,Germany,1. FC Nürnberg,ST,ST LW RW,168.0,Right,"Jul 1, 2019",29,1661,357,Medium,Medium,82,62,54,69,29,61,8.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,64.0,64.0,64.0,65.0,56.0,56.0,56.0,65.0,50.0,45.0,45.0,45.0,50.0,48.0,42.0,42.0,42.0,48.0,17.0,66,5.929418925714293,3.6020599913279625,7.146128035678238
3911,A. Petagna,25,Italy,Napoli,ST,ST,187.0,Left,"Jan 30, 2020",59,1826,401,Medium,Medium,61,75,68,76,40,81,62.0,76.0,76.0,76.0,72.0,75.0,75.0,75.0,72.0,74.0,74.0,74.0,73.0,69.0,69.0,69.0,73.0,55.0,57.0,57.0,57.0,55.0,52.0,53.0,53.0,53.0,52.0,11.0,76,8.021189299069938,4.732393759822968,8.269512944217917
3912,M. Halaïmia B,23,Algeria,Beerschot AC,RB,RB RWB LB,163.0,Right,"Jul 1, 2019",65,1539,340,Medium,Medium,73,27,51,55,65,69,8.0,46.0,46.0,46.0,52.0,48.0,48.0,48.0,52.0,50.0,50.0,50.0,54.0,53.0,53.0,53.0,54.0,63.0,62.0,62.0,62.0,63.0,65.0,65.0,65.0,65.0,65.0,15.0,67,5.954242509439325,3.6020599913279625,7.146128035678238
3913,A. Dia Ndiaye,19,Senegal,FC Sochaux-Montbéliard,ST,ST LW RW,154.0,Right,"Jul 1, 2018",16,1393,311,Medium,Medium,74,61,42,62,20,52,6.0,61.0,61.0,61.0,58.0,60.0,60.0,60.0,58.0,57.0,57.0,57.0,56.0,48.0,48.0,48.0,56.0,39.0,36.0,36.0,36.0,39.0,37.0,34.0,34.0,34.0,37.0,14.0,62,5.812913356642856,2.9542425094393248,0.0
3914,M. Nervo,29,Argentina,Club Atlas,CB,CB RB,183.0,Right,"Jul 6, 2018",74,1721,366,Medium,High,58,43,56,55,72,82,4.0,57.0,57.0,57.0,54.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,57.0,60.0,60.0,60.0,57.0,67.0,70.0,70.0,70.0,67.0,68.0,73.0,73.0,73.0,68.0,17.0,73,7.57978359661681,4.041392685158225,0.0
3915,D. Gnaase,23,Germany,KFC Uerdingen 05,CDM,CDM CM CAM,170.0,Right,"Sep 7, 2020",60,1792,388,Medium,High,76,53,61,65,60,73,7.0,60.0,60.0,60.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,63.0,63.0,63.0,65.0,14.0,66,5.903089986991944,3.3010299956639813,7.113943352306837
3916,D. Sandy,18,Bolivia,Jorge Wilstermann,GK,GK,170.0,Right,"Jan 1, 2020",7,951,336,Medium,Medium,60,62,60,61,31,62,3.0,22.0,22.0,22.0,20.0,21.0,21.0,21.0,20.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,20.0,21.0,21.0,21.0,20.0,20.0,21.0,21.0,21.0,20.0,61.0,62,5.574031267727719,2.6989700043360187,5.944975908412048
3917,J. Muleka,20,DR Congo,Standard de Liège,ST,ST RW LW,170.0,Right,"Sep 8, 2020",18,1673,357,Medium,Medium,77,68,58,70,21,63,42.0,68.0,68.0,68.0,68.0,67.0,67.0,67.0,68.0,66.0,66.0,66.0,66.0,56.0,56.0,56.0,66.0,46.0,41.0,41.0,41.0,46.0,43.0,37.0,37.0,37.0,43.0,16.0,68,7.204119982655925,3.6989700043360187,7.431363764158987
3918,S. Mavididi,22,England,Montpellier HSC,RM,LM ST,157.0,Right,"Jul 1, 2020",27,1756,391,Medium,Medium,89,72,66,74,25,65,67.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,74.0,73.0,73.0,73.0,74.0,65.0,65.0,65.0,74.0,53.0,48.0,48.0,48.0,53.0,49.0,41.0,41.0,41.0,49.0,16.0,75,6.954242509439325,4.3979400086720375,8.2718416065365
3919,C. Coleman,23,Republic of Ireland,Cork City,CDM,CM CDM,179.0,Right,"Dec 1, 2019",54,1597,340,Medium,Medium,54,51,55,57,55,68,5.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,57.0,57.0,57.0,56.0,57.0,58.0,58.0,58.0,57.0,56.0,57.0,57.0,57.0,56.0,14.0,57,5.204119982655925,2.7781512503836434,5.447158031342219
3920,K. Behrens,29,Germany,SV Sandhausen,ST,ST RM,176.0,Right,"Jul 1, 2018",27,1677,359,High,Medium,69,70,50,65,28,77,6.0,70.0,70.0,70.0,64.0,66.0,66.0,66.0,64.0,63.0,63.0,63.0,62.0,56.0,56.0,56.0,62.0,47.0,46.0,46.0,46.0,47.0,45.0,45.0,45.0,45.0,45.0,16.0,70,7.2552725051033065,3.7781512503836434,7.4623979978989565
3921,F. Schram,25,Iceland,Lyngby BK,GK,GK,187.0,Right,"Jan 14, 2020",17,1112,330,Medium,Medium,59,56,60,58,43,54,8.0,28.0,28.0,28.0,27.0,29.0,29.0,29.0,27.0,31.0,31.0,31.0,29.0,31.0,31.0,31.0,29.0,26.0,29.0,29.0,29.0,26.0,26.0,28.0,28.0,28.0,26.0,57.0,58,5.113943352306837,3.0,5.235528446907549
3922,Sergi Darder,26,Spain,RCD Espanyol,CM,CM LM CAM,157.0,Right,"Jul 10, 2018",64,1958,401,Medium,Low,44,70,77,77,66,67,50.0,69.0,69.0,69.0,71.0,72.0,72.0,72.0,71.0,75.0,75.0,75.0,71.0,77.0,77.0,77.0,71.0,69.0,73.0,73.0,73.0,69.0,67.0,67.0,67.0,67.0,67.0,16.0,77,8.021189299069938,4.041392685158225,8.217483944213907
3923,Matheus Aias,23,Brazil,Orlando City SC,ST,ST,159.0,Right,"Aug 21, 2020",18,1564,341,Medium,Medium,71,66,49,69,26,60,13.0,67.0,67.0,67.0,63.0,66.0,66.0,66.0,63.0,64.0,64.0,64.0,61.0,57.0,57.0,57.0,61.0,44.0,44.0,44.0,44.0,44.0,42.0,40.0,40.0,40.0,42.0,17.0,67,7.041392685158225,3.4771212547196626,7.278753600952829
3924,O. Turp,19,Turkey,Fenerbahçe SK,CB,CB,181.0,Right,"Jul 1, 2019",58,1299,279,Low,High,58,27,34,37,61,62,8.0,39.0,39.0,39.0,36.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,38.0,37.0,37.0,37.0,38.0,50.0,49.0,49.0,49.0,50.0,53.0,59.0,59.0,59.0,53.0,13.0,59,5.477121254719663,3.6020599913279625,5.879669205632053
3925,A. Rocha,27,Mexico,Mazatlán FC,CDM,CM CDM,150.0,Right,"Jul 7, 2020",74,1956,421,High,High,72,64,70,72,69,74,4.0,65.0,65.0,65.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,70.0,71.0,73.0,73.0,73.0,71.0,70.0,68.0,68.0,68.0,70.0,17.0,72,7.544068044350276,4.041392685158225,7.7923916894982534
3926,A. Anastasio,23,Italy,AC Monza,LWB,LB LM,161.0,Left,"Jul 23, 2019",63,1743,368,Medium,Medium,70,52,65,61,60,60,4.0,58.0,58.0,58.0,61.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,63.0,62.0,62.0,62.0,63.0,64.0,61.0,61.0,61.0,64.0,63.0,60.0,60.0,60.0,63.0,15.0,65,5.795880017344075,3.0,6.0
3927,J. Maddison,23,England,Leicester City,CAM,CAM CM LW,161.0,Right,"Jun 20, 2018",59,2071,429,High,Medium,75,76,84,82,54,58,395.0,72.0,72.0,72.0,80.0,79.0,79.0,79.0,80.0,81.0,81.0,81.0,80.0,79.0,79.0,79.0,80.0,68.0,68.0,68.0,68.0,68.0,64.0,56.0,56.0,56.0,64.0,20.0,81,7.361727836017593,4.913813852383717,8.657055852857104
3928,Fábio Nunes,27,Portugal,Farense,LM,LW LB,172.0,Left,"Jul 17, 2018",52,1844,395,Medium,High,76,61,65,71,55,67,5.0,64.0,64.0,64.0,68.0,67.0,67.0,67.0,68.0,67.0,67.0,67.0,69.0,65.0,65.0,65.0,69.0,65.0,62.0,62.0,62.0,65.0,63.0,59.0,59.0,59.0,63.0,18.0,68,5.977723605288848,3.6020599913279625,7.278753600952829
3929,N. Clyne,28,England,Liverpool,RB,RB,148.0,Right,"Jul 1, 2015",76,1964,419,Medium,Medium,70,61,70,76,76,66,42.0,68.0,68.0,68.0,72.0,70.0,70.0,70.0,72.0,71.0,71.0,71.0,72.0,71.0,71.0,71.0,72.0,75.0,74.0,74.0,74.0,75.0,75.0,74.0,74.0,74.0,75.0,18.0,76,7.812913356642856,4.826074802700826,7.079181246047625
3930,C. Andriamahitsinoro,30,Madagascar,Al Adalah,RW,ST LM,148.0,Right,"Sep 7, 2018",29,1697,372,High,Medium,90,63,58,67,28,66,6.0,65.0,65.0,65.0,67.0,66.0,66.0,66.0,67.0,64.0,64.0,64.0,66.0,58.0,58.0,58.0,66.0,52.0,47.0,47.0,47.0,52.0,49.0,42.0,42.0,42.0,49.0,14.0,65,5.720159303405957,3.7781512503836434,5.937517892017347
3931,A. Pierre,27,Grenada,Shrewsbury,CB,CB,194.0,Left,"Jun 24, 2019",66,1575,347,Medium,Medium,70,37,46,50,65,79,6.0,50.0,50.0,50.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,51.0,53.0,53.0,53.0,51.0,60.0,61.0,61.0,61.0,60.0,62.0,66.0,66.0,66.0,62.0,16.0,66,5.829303772831025,3.4771212547196626,7.079181246047625
3932,G. Dobson,22,England,Sunderland,CDM,CM CDM,165.0,Right,"Jul 25, 2019",63,1822,390,Medium,High,68,54,64,64,63,77,21.0,60.0,60.0,60.0,61.0,62.0,62.0,62.0,61.0,63.0,63.0,63.0,64.0,65.0,65.0,65.0,64.0,65.0,67.0,67.0,67.0,65.0,65.0,65.0,65.0,65.0,65.0,15.0,65,5.8750612633917,3.4771212547196626,7.176091259055681
3933,K. Krolicki,23,Japan,Montreal Impact,CDM,CM CDM,154.0,Right,"Feb 28, 2018",63,1606,343,Low,High,65,35,58,66,57,62,3.0,47.0,47.0,47.0,56.0,53.0,53.0,53.0,56.0,57.0,57.0,57.0,58.0,59.0,59.0,59.0,58.0,61.0,62.0,62.0,62.0,61.0,59.0,57.0,57.0,57.0,59.0,18.0,60,5.439332693830263,3.0,5.670245853074124
3934,J. Hawkins,19,United States,FC Ingolstadt 04,RM,RW,154.0,Right,"Jun 13, 2020",18,1309,279,Medium,Medium,72,43,45,59,24,36,8.0,49.0,49.0,49.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,46.0,46.0,46.0,53.0,42.0,36.0,36.0,36.0,42.0,40.0,31.0,31.0,31.0,40.0,15.0,53,5.113943352306837,2.9777236052888476,5.503790683057181
3935,J. Eaton-Collins,18,England,Norwich City,RM,RM CAM ST,154.0,Right,"Apr 21, 2015",27,1437,317,High,Medium,75,49,48,58,33,54,3.0,54.0,54.0,54.0,56.0,55.0,55.0,55.0,56.0,54.0,54.0,54.0,56.0,49.0,49.0,49.0,56.0,48.0,44.0,44.0,44.0,48.0,46.0,42.0,42.0,42.0,46.0,13.0,56,5.230448921378274,3.3010299956639813,0.0
3936,Bruno César,29,Brazil,Sporting CP,CAM,LW LB CAM,165.0,Left,"Jan 4, 2016",66,2048,424,Medium,Medium,61,75,79,78,66,65,5.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,73.0,74.0,74.0,74.0,73.0,69.0,71.0,71.0,71.0,69.0,68.0,67.0,67.0,67.0,68.0,19.0,74,7.740362689494244,4.176091259055681,7.041392685158225
3937,D. Templeton,31,Scotland,Hamilton Academical FC,LM,LM,139.0,Right,"Feb 1, 2020",42,1716,368,High,Low,74,61,60,68,46,59,6.0,63.0,63.0,63.0,65.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0,64.0,60.0,60.0,60.0,64.0,57.0,54.0,54.0,54.0,57.0,55.0,51.0,51.0,51.0,55.0,15.0,65,5.676693609624866,3.3010299956639813,5.919601023784111
3938,G. Hairemans,28,Belgium,KV Mechelen,CM,CAM RM CM,141.0,Left,"Sep 2, 2019",47,1795,365,High,Medium,46,65,73,69,46,66,4.0,62.0,62.0,62.0,66.0,66.0,66.0,66.0,66.0,68.0,68.0,68.0,67.0,69.0,69.0,69.0,67.0,59.0,61.0,61.0,61.0,59.0,55.0,52.0,52.0,52.0,55.0,16.0,68,5.954242509439325,3.7781512503836434,7.146128035678238
3939,P. Billing,24,Denmark,Bournemouth,CDM,CM,176.0,Left,"Jul 29, 2019",75,2025,429,High,High,57,69,71,72,78,82,92.0,71.0,71.0,71.0,68.0,71.0,71.0,71.0,68.0,71.0,71.0,71.0,70.0,75.0,75.0,75.0,70.0,74.0,78.0,78.0,78.0,74.0,74.0,78.0,78.0,78.0,74.0,19.0,75,6.954242509439325,4.113943352306837,8.276461804173245
3940,M. Dinanga,23,England,Stevenage,ST,ST,172.0,Right,"Aug 21, 2020",14,1359,293,Medium,Medium,71,56,40,56,19,51,3.0,56.0,56.0,56.0,54.0,55.0,55.0,55.0,54.0,53.0,53.0,53.0,52.0,46.0,46.0,46.0,52.0,38.0,34.0,34.0,34.0,38.0,36.0,31.0,31.0,31.0,36.0,15.0,56,5.113943352306837,3.3010299956639813,5.4048337166199385
3941,B. Godfrey,22,England,Norwich City,CB,CB,174.0,Right,"Jan 15, 2016",71,1756,386,Medium,High,72,44,58,64,71,77,365.0,57.0,57.0,57.0,59.0,59.0,59.0,59.0,59.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0,61.0,67.0,69.0,69.0,69.0,67.0,69.0,72.0,72.0,72.0,69.0,16.0,72,7.690196080028514,3.845098040014257,8.012837224705173
3942,P. González,27,Mexico,Puebla FC,CM,CM CDM RB,154.0,Right,"Jul 1, 2017",62,1887,396,High,High,56,66,71,68,64,71,4.0,65.0,65.0,65.0,66.0,67.0,67.0,67.0,66.0,68.0,68.0,68.0,68.0,71.0,71.0,71.0,68.0,67.0,70.0,70.0,70.0,67.0,66.0,66.0,66.0,66.0,66.0,18.0,71,7.380211241711606,3.7781512503836434,7.6127838567197355
